enquiry_id,listing_id,datetime,source,contact_method,campaign,move_in_days,qualified,responded,first_response_min,after_hours,viewing_booked,viewing_attended,outcome,month
E00000,L02,2025-12-01 10:22:00,propertyguru,portal_chat,,42,False,True,47.2,False,False,False,lowball,2025-12
E00001,L02,2025-12-01 10:27:00,meta_ads,lead_form,Meta Rooms YoungPro,31,False,True,3.5,False,False,False,lowball,2025-12
E00002,L02,2025-12-01 13:08:00,mudah,portal_chat,,22,False,True,55.8,False,False,False,no_reply,2025-12
E00003,L01,2025-12-01 16:03:00,propertyguru,portal_chat,,16,False,True,17.0,False,False,False,requirement_mismatch,2025-12
E00004,L01,2025-12-02 12:27:00,google_ads,phone_call,G-Search WholeUnits Cheras/KL,55,False,True,36.0,False,False,False,budget_mismatch,2025-12
E00005,L01,2025-12-03 10:11:00,google_ads,lead_form,G-Search WholeUnits Cheras/KL,30,False,True,5.1,False,False,False,lowball,2025-12
E00006,L02,2025-12-03 20:47:00,meta_ads,lead_form,Meta Rooms YoungPro,10,True,True,56.1,True,False,False,still_open,2025-12
E00007,L01,2025-12-04 09:02:00,propertyguru,portal_chat,,40,False,True,12.2,False,False,False,no_reply,2025-12
E00008,L02,2025-12-04 10:05:00,mudah,portal_chat,,31,False,True,41.7,False,False,False,lowball,2025-12
E00009,L02,2025-12-04 10:35:00,mudah,phone_call,,45,False,True,11.1,False,False,False,no_reply,2025-12
E00010,L01,2025-12-04 13:34:00,google_ads,whatsapp,G-Search WholeUnits Cheras/KL,6,False,True,227.9,False,False,False,no_reply,2025-12
E00011,L02,2025-12-04 15:59:00,mudah,portal_chat,,45,False,True,55.8,False,False,False,no_reply,2025-12
E00012,L01,2025-12-04 18:00:00,propertyguru,portal_chat,,27,True,True,35.1,False,True,False,no_show,2025-12
E00013,L01,2025-12-04 19:16:00,propertyguru,whatsapp,,55,False,True,8.7,False,False,False,lowball,2025-12
E00014,L02,2025-12-04 19:39:00,propertyguru,portal_chat,,44,False,True,28.0,False,False,False,no_reply,2025-12
E00015,L02,2025-12-05 09:53:00,mudah,portal_chat,,27,False,False,,False,False,False,unanswered,2025-12
E00016,L01,2025-12-05 14:34:00,mudah,portal_chat,,55,False,True,63.1,False,False,False,lowball,2025-12
E00017,L02,2025-12-06 17:31:00,referral,whatsapp,,21,True,True,50.1,True,True,True,lost_to_other,2025-12
E00018,L02,2025-12-07 16:12:00,meta_ads,lead_form,Meta Rooms YoungPro,27,False,True,138.5,True,False,False,requirement_mismatch,2025-12
E00019,L03,2025-12-08 16:43:00,mudah,portal_chat,,21,True,True,33.0,False,False,False,still_open,2025-12
E00020,L02,2025-12-08 22:48:00,mudah,portal_chat,,15,False,False,,True,False,False,unanswered,2025-12
E00021,L06,2025-12-09 09:17:00,mudah,portal_chat,,24,False,True,22.7,False,False,False,requirement_mismatch,2025-12
E00022,L02,2025-12-09 11:59:00,propertyguru,whatsapp,,30,False,True,17.9,False,False,False,requirement_mismatch,2025-12
E00023,L02,2025-12-09 12:36:00,meta_ads,lead_form,Meta Rooms YoungPro,44,False,True,45.0,False,False,False,no_reply,2025-12
E00024,L02,2025-12-09 14:29:00,mudah,phone_call,,31,False,True,19.8,False,False,False,no_reply,2025-12
E00025,L03,2025-12-09 14:44:00,referral,phone_call,,13,True,True,149.8,False,True,True,lost_to_other,2025-12
E00026,L02,2025-12-09 16:47:00,mudah,portal_chat,,53,False,True,22.5,False,False,False,no_reply,2025-12
E00027,L06,2025-12-09 22:55:00,mudah,portal_chat,,32,False,True,87.3,True,False,False,lowball,2025-12
E00028,L06,2025-12-10 09:33:00,propertyguru,portal_chat,,38,False,True,6.5,False,False,False,lowball,2025-12
E00029,L07,2025-12-10 14:51:00,google_ads,whatsapp,G-Search WholeUnits Cheras/KL,68,False,True,73.4,False,False,False,lowball,2025-12
E00030,L03,2025-12-10 15:20:00,propertyguru,whatsapp,,19,True,True,146.9,False,False,False,no_reply,2025-12
E00031,L02,2025-12-10 16:10:00,mudah,portal_chat,,28,False,True,29.2,False,False,False,requirement_mismatch,2025-12
E00032,L01,2025-12-10 16:42:00,google_ads,lead_form,G-Search WholeUnits Cheras/KL,19,False,True,64.2,False,False,False,requirement_mismatch,2025-12
E00033,L01,2025-12-10 16:57:00,propertyguru,phone_call,,55,False,True,96.8,False,False,False,budget_mismatch,2025-12
E00034,L07,2025-12-10 19:03:00,google_ads,phone_call,G-Search WholeUnits Cheras/KL,48,False,True,25.1,False,False,False,requirement_mismatch,2025-12
E00035,L07,2025-12-11 09:39:00,propertyguru,portal_chat,,17,True,False,,False,False,False,unanswered,2025-12
E00036,L06,2025-12-11 10:38:00,mudah,whatsapp,,29,False,True,26.0,False,False,False,budget_mismatch,2025-12
E00037,L07,2025-12-11 12:26:00,mudah,portal_chat,,48,False,True,92.1,False,False,False,no_reply,2025-12
E00038,L01,2025-12-11 12:33:00,propertyguru,portal_chat,,26,True,True,3.8,False,True,True,viewing_pipeline,2025-12
